ECPRI version,ECPRI Data Format Ecpri Message,Ecpri Payload Length,ecpriPcid,ecpriSeqid,dataDirection,payloadVersion,filterIndex,frameId,SubframeId,SlotId,Symbolid,SectionsID,rb,StartPrb,NumOfPrb,Sampling ,ByteStart,ByteEnd,TimeStamp(s),TimeStamp(us/ns),PacketOffsetTo10ms(ns),PacketOffsetTo10ms(utu),N1,PacketAdvanceToAif(ns)
1,0,1300,0,59776,1,1,0,243,4,1,4,1,0,0,46,9,90351,91638,315965949,314385461,4385461,5388854,755,-257768.2
1,0,1300,0,60032,1,1,0,243,4,1,4,1,0,46,46,9,91693,92980,315965949,314385953,4385953,5389459,755,-257276.2
1,0,1300,0,60288,1,1,0,243,4,1,4,1,0,92,46,9,93035,94322,315965949,314386437,4386437,5390054,755,-256792.2
1,0,1272,0,60544,1,1,0,243,4,1,4,1,0,138,45,9,94377,95636,315965949,314386922,4386922,5390650,755,-256307.2
1,0,1272,0,60800,1,1,0,243,4,1,4,1,0,183,45,9,95691,96950,315965949,314387406,4387406,5391244,755,-255823.2
1,0,1272,0,61056,1,1,0,243,4,1,4,1,0,228,45,9,97005,98264,315965949,314387882,4387882,5391829,755,-255347.2
1,0,1300,128,59776,1,1,0,243,4,1,4,1,0,0,46,9,98319,99606,315965949,314388378,4388378,5392439,755,-254851.2
1,0,1300,128,60032,1,1,0,243,4,1,4,1,0,46,46,9,99661,100948,315965949,314388871,4388871,5393045,755,-254358.2
1,0,1300,128,60288,1,1,0,243,4,1,4,1,0,92,46,9,101003,102290,315965949,314389355,4389355,5393639,755,-253874.2
1,0,1272,128,60544,1,1,0,243,4,1,4,1,0,138,45,9,102345,103604,315965949,314389839,4389839,5394234,755,-253390.2
1,0,1272,128,60800,1,1,0,243,4,1,4,1,0,183,45,9,103659,104918,315965949,314390323,4390323,5394829,755,-252906.2
1,0,1272,128,61056,1,1,0,243,4,1,4,1,0,228,45,9,104973,106232,315965949,314390799,4390799,5395414,755,-252430.2
1,0,1300,0,61312,1,1,0,243,4,1,5,1,0,0,46,9,106287,107574,315965949,314421154,4421154,5432714,755,-257752.3
1,0,1300,0,61568,1,1,0,243,4,1,5,1,0,46,46,9,107629,108916,315965949,314421647,4421647,5433320,755,-257259.3
1,0,1300,0,61824,1,1,0,243,4,1,5,1,0,92,46,9,108971,110258,315965949,314422131,4422131,5433915,755,-256775.3
1,0,1272,0,62080,1,1,0,243,4,1,5,1,0,138,45,9,110313,111572,315965949,314422615,4422615,5434509,755,-256291.3
1,0,1272,0,62336,1,1,0,243,4,1,5,1,0,183,45,9,111627,112886,315965949,314423099,4423099,5435104,755,-255807.3
1,0,1272,0,62592,1,1,0,243,4,1,5,1,0,228,45,9,112941,114200,315965949,314423575,4423575,5435689,755,-255331.3
1,0,1300,128,61312,1,1,0,243,4,1,5,1,0,0,46,9,114255,115542,315965949,314424072,4424072,5436300,755,-254834.3
1,0,1300,128,61568,1,1,0,243,4,1,5,1,0,46,46,9,115597,116884,315965949,314424564,4424564,5436904,755,-254342.3
1,0,1300,128,61824,1,1,0,243,4,1,5,1,0,92,46,9,116939,118226,315965949,314425048,4425048,5437499,755,-253858.3
